CID,SMILES
CID:3762,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C
CID:3763,C(C(F)(F)F)(OC(F)F)Cl
CID:3767,C1=CN=CC=C1C(=O)NN
CID:3775,CC(C)[N+](C)(CCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N)C(C)C
CID:3779,CC(C)NCC(C1=CC(=C(C=C1)O)O)O
CID:3784,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC
CID:3821,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
CID:3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
CID:3826,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
CID:3827,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1
CID:3869,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O
CID:3878,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
CID:3883,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
CID:3899,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
CID:3902,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
CID:3948,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O
CID:3955,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4
CID:3957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
CID:3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
CID:3961,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl
CID:3964,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
CID:4004,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC
CID:4011,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
CID:4020,C1CN2C(=N1)C3=CC=CC=C3C2(C4=CC=C(C=C4)Cl)O
CID:4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3
CID:4032,CC1(C2CCC(C2)C1(C)NC)C
CID:4034,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
CID:4037,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl
CID:4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C
CID:4046,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
CID:4054,CC12CC3CC(C1)(CC(C3)(C2)N)C
CID:4057,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C
CID:4058,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2
CID:4060,CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2
CID:4062,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C
CID:4066,C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53
CID:4075,C1=CC(=C(C=C1N)C(=O)O)O
CID:4078,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
CID:4086,CC(C)NCC(C1=CC(=CC(=C1)O)O)O
CID:4091,CN(C)C(=N)N=C(N)N
CID:4095,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
CID:4097,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13
